"10","N05CA06","SECOBARBITAL","28:24.04","BARBITURATES","",""
"10390","A02BA02","RANITIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"10391","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS","",""
"10393","D07AA02","HYDROCORTISONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"10396","N05CD05","TRIAZOLAM","28:24.08","BENZODIAZEPINES","",""
"10397","N05CD05","TRIAZOLAM","28:24.08","BENZODIAZEPINES","",""
"104","C10AX01","DEXTROTHYROXINE","24:06.00","ANTILIPEMIC AGENTS","",""
"1040","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10400","A06AC03","STERCULIA","56:12.00","CATHARTICS AND LAXATIVES","",""
"10401","R05X","Other cold preparations","48:01.00*","OTHER COLD AND COUGH PREPARATIONS","",""
"1041","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"1042","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10427","A02BA02","RANITIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"10428","A02BA02","RANITIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"1043","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10430","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"10431","D05AA","TARS","84:32.00","KERATOPLASTIC AGENTS","",""
"10432","A11CA02","BETA-CAROTENE","88:04.00","VITAMIN A","",""
"10436","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10437","B03BA51","CYANOCOBALAMIN, COMBINATIONS","88:08.00","VITAMIN B COMPLEX","",""
"1044","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10445","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS","",""
"10446","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS","",""
"10447","A11EX","VITAMIN B-COMPLEX, OTHER COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10448","D11AF","WART AND ANTI-CORN PREPARATIONS","84:28.00","KERATOLYTIC AGENTS","",""
"10449","A07BA01","MEDICINAL CHARCOAL","56:04.00","ANTACIDS AND ADSORBENTS","",""
"1045","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10454","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10458","N04BD01","SELEGILINE","28:36.32","MONOAMINE OXIDASE B INHIBITORS","",""
"10459","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"1046","B02BC06","THROMBIN","20:28.16","HEMOSTATICS","",""
"10460","D08AC52","CHLORHEXIDINE, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10461","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10462","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10463","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10465","D08AC52","CHLORHEXIDINE, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10466","D08AE55","CHLOROXYLENOL, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10467","D08AC52","CHLORHEXIDINE, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10468","D08AG03","IODINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"1047","B02BC06","THROMBIN","20:28.16","HEMOSTATICS","",""
"10472","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10473","D05AA","TARS","84:28.00","KERATOLYTIC AGENTS","",""
"10473","D05AA","TARS","84:32.00","KERATOPLASTIC AGENTS","",""
"10474","","","88:29.00*","MINERALS","",""
"10475","J01DD04","CEFTRIAXONE","08:12.06.12","THIRD GENERATION CEPHALOSPORINS","",""
"10476","A06AC01","ISPAGHULA (PSYLLA SEEDS)","56:12.00","CATHARTICS AND LAXATIVES","",""
"10479","A12CC03","MAGNESIUM GLUCONATE","88:29.00*","MINERALS","",""
"1048","B02BC06","THROMBIN","20:28.16","HEMOSTATICS","",""
"10480","M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES","28:08.04.24","SALICYLATES","",""
"10482","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10483","A02BX02","SUCRALFATE","56:28.32","PROTECTANTS","",""
"10484","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10485","N02AA01","MORPHINE","28:08.08","OPIATE AGONISTS","",""
"10487","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"10488","N05AB02","FLUPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"10489","D11AX12","PYRITHIONE ZINC","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"1049","A11JC","VITAMINS, OTHER COMBINATIONS","88:12.00","VITAMIN C","",""
"105","P02CB01","PIPERAZINE","08:08.00","ANTHELMINTICS","",""
"1050","B03AA52","FERROUS FUMARATE, COMBINATIONS","20:04.04","IRON PREPARATIONS","",""
"10501","S01AA30","COMBINATIONS OF DIFFERENT ANTIBIOTICS","52:04.04","ANTIBACTERIALS","",""
"10503","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10504","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10505","A06AA02","DOCUSATE SODIUM","56:12.00","CATHARTICS AND LAXATIVES","",""
"10506","P03AB02","LINDANE","84:04.12","SCABICIDES AND PEDICULICIDES","",""
"10507","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10508","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"1051","A09AC01","PEPSIN AND ACID PREPARATIONS","56:16.00","DIGESTANTS","",""
"10513","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"10514","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"10518","C01BB01","LIDOCAINE","24:04.04.08","CLASS IB ANTIARRYTHMICS","",""
"1052","B03BB51","FOLIC ACID, COMBINATIONS","88:08.00","VITAMIN B COMPLEX","",""
"10520","C01BB01","LIDOCAINE","24:04.04.08","CLASS IB ANTIARRYTHMICS","",""
"10522","R01BA52","PSEUDOEPHEDRINE, COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"10522","R01BA52","PSEUDOEPHEDRINE, COMBINATIONS","12:12.00","SYMPATHOMIMETIC (ADRENERGIC) AGENTS","",""
"10524","J01DD08","CEFIXIME","08:12.06.12","THIRD GENERATION CEPHALOSPORINS","",""
"1053","","","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS","",""
"10531","N05CD05","TRIAZOLAM","28:24.08","BENZODIAZEPINES","",""
"10534","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10537","J05AB01","ACYCLOVIR","08:18.32","NUCLEOSIDES AND NUCLEOTIDES","",""
"10539","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1054","A11JA","COMBINATIONS OF VITAMINS","88:28.00","MULTIVITAMIN PREPARATIONS","",""
"10542","N07CA03","FLUNARIZINE","04:04.16","PIPERAZINE DERIVATIVES","",""
"10542","N07CA03","FLUNARIZINE","28:32.92","ANTIMIGRAINE AGENTS, MISCELLANEOUS","",""
"10543","A07DA03","LOPERAMIDE","56:08.00","ANTIDIARRHEA AGENTS","",""
"10545","J01DC04","CEFACLOR","08:12.06.08","SECOND GENERATION CEPHALOSPORINS","",""
"10548","N05CD05","TRIAZOLAM","28:24.08","BENZODIAZEPINES","",""
"10549","A03FA01","METOCLOPRAMIDE","56:32.00","PROKINETIC AGENTS","",""
"1055","B06AA11","BROMELAINS","44:00.00","ENZYMES","",""
"10550","A03FA01","METOCLOPRAMIDE","56:32.00","PROKINETIC AGENTS","",""
"10551","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"10554","P03AC52","BIOALLETHRIN, COMBINATIONS","84:04.12","SCABICIDES AND PEDICULICIDES","",""
"10556","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10557","C07AB04","ACEBUTOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"10558","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"10559","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"1056","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:29.00*","MINERALS","",""
"10560","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS","",""
"10561","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"10562","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS","",""
"10563","C08CA05","NIFEDIPINE","24:28.08","DIHYDROPYRIDINES","",""
"10564","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10566","D02AB","ZINC PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"10568","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"1057","A11CB","VITAMIN A AND D IN COMBINATION","88:04.01*","VITAMIN A AND D","",""
"10570","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"10571","A11HA02","PYRIDOXINE (VIT B6)","88:08.00","VITAMIN B COMPLEX","",""
"10572","A11HA02","PYRIDOXINE (VIT B6)","88:08.00","VITAMIN B COMPLEX","",""
"10573","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"1058","A11EX","VITAMIN B-COMPLEX, OTHER COMBINATIONS","88:08.00","VITAMIN B COMPLEX","",""
"1058","A11EX","VITAMIN B-COMPLEX, OTHER COMBINATIONS","88:12.00","VITAMIN C","",""
"10583","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"106","","","08:08.00","ANTHELMINTICS","",""
"1060","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10600","N02CA52","ERGOTAMINE, COMBINATIONS EXCL. PSYCHOLEPTICS","12:16.00","SYMPATHOLYTIC (ADRENERGIC BLOCKING) AGENTS","",""
"10601","A06AA02","DOCUSATE SODIUM","56:12.00","CATHARTICS AND LAXATIVES","",""
"10603","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"1062","A01AD11","VARIOUS","52:16.00","LOCAL ANESTHETICS","",""
"1063","","","34:00.00","DENTAL AGENTS","",""
"1064","N02AJ07","CODEINE AND ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"1064","N02AJ07","CODEINE AND ACETYLSALICYLIC ACID","28:08.08","OPIATE AGONISTS","",""
"10643","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1065","N02AJ07","CODEINE AND ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"1065","N02AJ07","CODEINE AND ACETYLSALICYLIC ACID","28:08.08","OPIATE AGONISTS","",""
"10663","S01EB09","ACETYLCHOLINE","52:40.20","MIOTICS","",""
"1067","G01AX","OTHER ANTIINFECTIVES AND ANTISEPTICS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10670","J01DC05","CEFOTETAN","08:12.07.12","CEPHAMYCINS","",""
"10673","D11AC30","OTHERS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10674","D05AA","TARS","84:28.00","KERATOLYTIC AGENTS","",""
"10674","D05AA","TARS","84:32.00","KERATOPLASTIC AGENTS","",""
"10675","R05DA20","COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"10675","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"10681","A12CE","SELENIUM","88:29.00*","MINERALS","",""
"10682","A12CB","ZINC","88:29.00*","MINERALS","",""
"10683","D08AC52","CHLORHEXIDINE, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10689","D01AC08","KETOCONAZOLE","84:04.08.08","AZOLES","",""
"10690","A03FA02","CISAPRIDE","56:32.00","PROKINETIC AGENTS","",""
"10691","A03FA03","DOMPERIDONE","56:32.00","PROKINETIC AGENTS","",""
"10692","D02AX","OTHER EMOLLIENTS AND PROTECTIVES","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"10693","A02DA","ANTIFLATULENTS","56:10.00","ANTIFLATULENTS","",""
"10694","A06AA01","LIQUID PARAFFIN","56:12.00","CATHARTICS AND LAXATIVES","",""
"10697","R05X","Other cold preparations","48:01.00*","OTHER COLD AND COUGH PREPARATIONS","",""
"10698","D04AX","OTHER ANTIPRURITICS","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"10699","A06AB05","CASTOR OIL","56:12.00","CATHARTICS AND LAXATIVES","",""
"107","N07AB01","CARBACHOL","12:04.00","PARASYMPATHOMEMETIC (CHOLINERGIC) AGENTS","",""
"1070","G01AX11","POVIDONE-IODINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10700","D02AB","ZINC PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"10702","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10703","M02AX10","VARIOUS","84:24.04","BASIC LOTIONS AND LINIMENTS","",""
"10704","A12AA05","CALCIUM LACTATE","88:29.00*","MINERALS","",""
"1071","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10713","N04AC01","BENZATROPINE","28:36.08","ANTICHOLINERGIC AGENTS","",""
"1072","D02AB","ZINC PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"1073","A02AH","ANTACIDS WITH SODIUM BICARBONATE","56:04.00","ANTACIDS AND ADSORBENTS","",""
"1074","P01BC01","QUININE","08:30.08","ANTIMALARIALS","",""
"10741","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10747","A12CX","OTHER MINERAL PRODUCTS","88:29.00*","MINERALS","",""
"10749","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"1075","R05DA04","CODEINE","28:08.08","OPIATE AGONISTS","",""
"10750","M01AE02","NAPROXEN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"10751","D06AX07","GENTAMICIN","84:04.04","ANTIBIOTICS","",""
"10752","D06AX07","GENTAMICIN","84:04.04","ANTIBIOTICS","",""
"10754","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10755","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10756","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10757","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10759","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"1076","R05DA04","CODEINE","28:08.08","OPIATE AGONISTS","",""
"10764","A11JC","VITAMINS, OTHER COMBINATIONS","88:30.00*","OTHER NUTRITIONAL AGENTS","",""
"10765","A06AD04","MAGNESIUM SULPHATE","56:12.00","CATHARTICS AND LAXATIVES","",""
"1077","R05DA04","CODEINE","28:08.08","OPIATE AGONISTS","",""
"10771","M01AB05","DICLOFENAC","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"10774","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"10775","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"10776","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"10779","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"1078","S01AA30","COMBINATIONS OF DIFFERENT ANTIBIOTICS","52:04.04","ANTIBACTERIALS","",""
"10780","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10782","QG03AC03","LEVONORGESTREL","","","",""
"10788","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10792","D02BA01","AMINOBENZOIC ACID","84:80.00","SUNSCREEN AGENTS","",""
"10793","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"10795","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"10796","A07BB","BISMUTH PREPARATIONS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"108","V03AB22","AMYL NITRITE","24:12.08","NITRATES AND NITRITES","",""
"1080","D07AC07","FLUDROXYCORTIDE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"10800","A11EA","VITAMIN B-COMPLEX, PLAIN","88:08.00","VITAMIN B COMPLEX","",""
"10801","A11CA02","BETA-CAROTENE","88:04.00","VITAMIN A","",""
"10802","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10805","J01FA01","ERYTHROMYCIN","08:12.12.04","ERYTHROMYCINS","",""
"10806","C03EA01","HYDROCHLOROTHIAZIDE AND POTASSIUM-SPARING AGENTS","40:28.16","POTASSIUM-SPARING DIURETICS","",""
"10806","C03EA01","HYDROCHLOROTHIAZIDE AND POTASSIUM-SPARING AGENTS","40:28.20","THIAZIDE DIURETICS","",""
"10807","C08DA01","VERAPAMIL","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS","",""
"10808","C08DA01","VERAPAMIL","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS","",""
"10809","A06AB20","CONTACT LAXATIVES IN COMBINATION","56:12.00","CATHARTICS AND LAXATIVES","",""
"1081","R05DA04","CODEINE","28:08.08","OPIATE AGONISTS","",""
"10810","A11CA01","RETINOL (VIT A)","88:04.00","VITAMIN A","",""
"10812","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10813","A11JC","VITAMINS, OTHER COMBINATIONS","88:20.00","VITAMIN E","",""
"10813","A11JC","VITAMINS, OTHER COMBINATIONS","88:30.00*","OTHER NUTRITIONAL AGENTS","",""
"10814","H02AB02","DEXAMETHASONE","68:04.00","ADRENALS","",""
"10821","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"10823","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS","",""
"10824","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS","",""
"10825","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"10826","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"10827","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"1083","C03CA01","FUROSEMIDE","40:28.08","LOOP DIURETICS","",""
"10831","P02CE01","LEVAMISOLE","08:08.00","ANTHELMINTICS","",""
"10833","A10BB01","GLIBENCLAMIDE","68:20.20","SULFONYLUREAS","",""
"10835","C10AB05","FENOFIBRATE","24:06.06","FRIBIC ACID DERIVATIVES","",""
"10836","D01AE14","CICLOPIROX","84:04.08.20","HYDROXYPYRIDONES","",""
"10837","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10840","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10844","D07AA02","HYDROCORTISONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"10845","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"10846","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"10847","J01DC02","CEFUROXIME","08:12.06.08","SECOND GENERATION CEPHALOSPORINS","",""
"10848","J01DC02","CEFUROXIME","08:12.06.08","SECOND GENERATION CEPHALOSPORINS","",""
"10849","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"1085","P01BC01","QUININE","08:30.08","ANTIMALARIALS","",""
"10850","B03AE","IRON IN OTHER COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10852","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10854","","","40:34.00*","HEMODIALYSIS SOLUTION","",""
"10855","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"10856","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"10857","V03AN01","OXYGEN","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS","",""
"10858","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10861","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10862","B05BB01","ELECTROLYTES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10868","R01AX10","VARIOUS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"10869","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"1087","N03AA02","PHENOBARBITAL","28:12.04","BARBITURATES","",""
"1087","N03AA02","PHENOBARBITAL","28:24.04","BARBITURATES","",""
"10870","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"10879","G04BE04","YOHIMBIN","92:92.00","OTHER MISCELLANEOUS THERAPEUTIC AGENTS","",""
"1088","A11JC","VITAMINS, OTHER COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10888","J01CA04","AMOXICILLIN","08:12.16.08","AMINOPENICILLINS","",""
"1089","R02AA20","VARIOUS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"10890","D04AB04","BENZOCAINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"10891","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10892","A11GB","ASCORBIC ACID (VIT C), COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"10893","C08DA01","VERAPAMIL","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS","",""
"10894","C08DA01","VERAPAMIL","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS","",""
"10895","A12CB02","ZINC GLUCONATE","88:29.00*","MINERALS","",""
"10896","A11CA02","BETA-CAROTENE","88:04.00","VITAMIN A","",""
"109","A11CC","VITAMIN D AND ANALOGUES","88:16.00","VITAMIN D","",""
"1091","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS","",""
"10911","A12AA03","CALCIUM GLUCONATE","40:12.00","REPLACEMENT PREPARATIONS","",""
"10912","S02AA30","ANTIINFECTIVES, COMBINATIONS","52:04.04","ANTIBACTERIALS","",""
"10915","D08AX08","ETHANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10917","B02BD02","COAGULATION FACTOR VIII","20:28.16","HEMOSTATICS","",""
"1092","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS","",""
"10921","QS03CA04","HYDROCORTISONE AND ANTIINFECTIVES","","","",""
"10925","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1093","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"10942","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10943","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"10948","A06AC01","ISPAGHULA (PSYLLA SEEDS)","56:12.00","CATHARTICS AND LAXATIVES","",""
"1095","A10BB01","GLIBENCLAMIDE","68:20.20","SULFONYLUREAS","",""
"10955","N06AA01","DESIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"10957","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"1096","P01BC01","QUININE","08:30.08","ANTIMALARIALS","",""
"10961","A01AD11","VARIOUS","52:28.00","MOUTHWASHES AND GARGLES","",""
"10966","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS","",""
"10967","A09AA04","TILACTASE","56:16.00","DIGESTANTS","",""
"10968","A12AA04","CALCIUM CARBONATE","40:12.00","REPLACEMENT PREPARATIONS","",""
"1097","A07DA52","MORPHINE, COMBINATIONS","28:08.08","OPIATE AGONISTS","",""
"10974","","","88:29.00*","MINERALS","",""
"1098","N06AA01","DESIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"10982","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"10983","C07AA12","NADOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"10984","C07AA12","NADOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"10985","C07AA12","NADOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"10987","A11HA02","PYRIDOXINE (VIT B6)","88:08.00","VITAMIN B COMPLEX","",""
"10988","R01AX30","COMBINATIONS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"10989","V01AA20","VARIOUS","92:05.00*","ALLERGENIC EXTRACTS","",""
"1099","N06AA02","IMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"10990","V01AA20","VARIOUS","92:05.00*","ALLERGENIC EXTRACTS","",""
"10994","A06AB20","CONTACT LAXATIVES IN COMBINATION","56:12.00","CATHARTICS AND LAXATIVES","",""
"10995","D06AX07","GENTAMICIN","84:04.04","ANTIBIOTICS","",""
"10996","R05DA04","CODEINE","28:08.08","OPIATE AGONISTS","",""
"10998","M03AC04","ATRACURIUM","12:20.20","NEUROMUSCULAR BLOCKING AGENTS","",""
"11","S01AA17","ERYTHROMYCIN","52:04.04","ANTIBACTERIALS","",""
"110","A11CC01","ERGOCALCIFEROL","88:16.00","VITAMIN D","",""
